Amostra 1: Esperada=V, Predita=A, Confiança=0.0000
Amostra 103: Esperada=W, Predita=W, Confiança=1.0000
Amostra 104: Esperada=L, Predita=A, Confiança=0.0000
Amostra 105: Esperada=T, Predita=A, Confiança=0.0000
Amostra 106: Esperada=U, Predita=D, Confiança=0.0732
Amostra 107: Esperada=X, Predita=X, Confiança=0.6877
Amostra 108: Esperada=L, Predita=A, Confiança=0.0000
Amostra 109: Esperada=F, Predita=A, Confiança=0.0000
Amostra 110: Esperada=U, Predita=A, Confiança=0.0000
Amostra 111: Esperada=C, Predita=A, Confiança=0.0000
Amostra 112: Esperada=A, Predita=A, Confiança=0.0000
Amostra 113: Esperada=Z, Predita=A, Confiança=0.0000
Amostra 114: Esperada=B, Predita=O, Confiança=0.3365
Amostra 115: Esperada=E, Predita=A, Confiança=0.0000
Amostra 116: Esperada=Q, Predita=Q, Confiança=1.0000
Amostra 117: Esperada=D, Predita=A, Confiança=0.0000
Amostra 118: Esperada=S, Predita=A, Confiança=0.0000
Amostra 119: Esperada=F, Predita=A, Confiança=0.0000
Amostra 120: Esperada=P, Predita=A, Confiança=0.0000
Amostra 121: Esperada=W, Predita=W, Confiança=1.0000
Amostra 122: Esperada=R, Predita=R, Confiança=1.0000
Amostra 123: Esperada=D, Predita=D, Confiança=0.8784
Amostra 124: Esperada=Q, Predita=Q, Confiança=1.0000
Amostra 125: Esperada=M, Predita=M, Confiança=1.0000
Amostra 126: Esperada=T, Predita=A, Confiança=0.0000
Amostra 127: Esperada=J, Predita=A, Confiança=0.0000
Amostra 128: Esperada=G, Predita=A, Confiança=0.0000
Amostra 129: Esperada=N, Predita=N, Confiança=1.0000
Amostra 130: Esperada=B, Predita=R, Confiança=0.1162
Amostra 131: Esperada=D, Predita=D, Confiança=0.8817
Amostra 132: Esperada=O, Predita=O, Confiança=0.9976
Amostra 133: Esperada=Y, Predita=A, Confiança=0.0000
Amostra 134: Esperada=X, Predita=X, Confiança=0.9889
Amostra 135: Esperada=U, Predita=D, Confiança=0.1317
Amostra 136: Esperada=Y, Predita=X, Confiança=0.0243
Amostra 137: Esperada=R, Predita=R, Confiança=1.0000
Amostra 138: Esperada=Z, Predita=A, Confiança=0.0000
Amostra 139: Esperada=W, Predita=W, Confiança=1.0000
Amostra 140: Esperada=O, Predita=D, Confiança=0.0864
Amostra 141: Esperada=W, Predita=W, Confiança=1.0000
Amostra 142: Esperada=Y, Predita=A, Confiança=0.0000
Amostra 143: Esperada=J, Predita=Q, Confiança=0.0584
Amostra 144: Esperada=I, Predita=Q, Confiança=0.0239
Amostra 145: Esperada=L, Predita=A, Confiança=0.0000
Amostra 146: Esperada=C, Predita=Q, Confiança=0.0815
Amostra 147: Esperada=E, Predita=A, Confiança=0.0000
Amostra 148: Esperada=C, Predita=A, Confiança=0.0000
Amostra 149: Esperada=K, Predita=A, Confiança=0.0000
Amostra 150: Esperada=M, Predita=M, Confiança=1.0000
Amostra 151: Esperada=N, Predita=N, Confiança=0.2363
Amostra 152: Esperada=O, Predita=O, Confiança=0.4926
Amostra 153: Esperada=P, Predita=A, Confiança=0.0000
Amostra 154: Esperada=M, Predita=M, Confiança=0.4079
Amostra 155: Esperada=O, Predita=O, Confiança=0.9600
Amostra 156: Esperada=H, Predita=H, Confiança=1.0000
Amostra 157: Esperada=I, Predita=A, Confiança=0.0000
Amostra 158: Esperada=W, Predita=W, Confiança=0.8077
Amostra 159: Esperada=R, Predita=R, Confiança=1.0000
Amostra 160: Esperada=Z, Predita=A, Confiança=0.0000
Amostra 161: Esperada=D, Predita=D, Confiança=0.8819
Amostra 162: Esperada=T, Predita=A, Confiança=0.0000
Amostra 163: Esperada=K, Predita=M, Confiança=0.3090
Amostra 164: Esperada=U, Predita=A, Confiança=0.0000
Amostra 165: Esperada=H, Predita=H, Confiança=0.8578
Amostra 166: Esperada=N, Predita=N, Confiança=1.0000
Amostra 167: Esperada=G, Predita=O, Confiança=0.5127
Amostra 168: Esperada=Q, Predita=Q, Confiança=0.6672
Amostra 169: Esperada=A, Predita=A, Confiança=0.0000
Amostra 170: Esperada=R, Predita=R, Confiança=1.0000
Amostra 171: Esperada=Y, Predita=A, Confiança=0.0000
Amostra 172: Esperada=A, Predita=A, Confiança=0.0000
Amostra 173: Esperada=S, Predita=A, Confiança=0.0000
Amostra 174: Esperada=T, Predita=A, Confiança=0.0000
Amostra 175: Esperada=V, Predita=W, Confiança=0.0550
Amostra 176: Esperada=T, Predita=A, Confiança=0.0000
Amostra 177: Esperada=F, Predita=A, Confiança=0.0000
Amostra 178: Esperada=Z, Predita=A, Confiança=0.0000
Amostra 179: Esperada=Y, Predita=R, Confiança=0.1934
Amostra 180: Esperada=Z, Predita=A, Confiança=0.0000
Amostra 181: Esperada=P, Predita=A, Confiança=0.0000
Amostra 182: Esperada=H, Predita=H, Confiança=1.0000
Amostra 183: Esperada=H, Predita=H, Confiança=1.0000
Amostra 184: Esperada=X, Predita=X, Confiança=1.0000
Amostra 185: Esperada=X, Predita=X, Confiança=1.0000
Amostra 186: Esperada=F, Predita=A, Confiança=0.0000
Amostra 187: Esperada=T, Predita=A, Confiança=0.0000
Amostra 188: Esperada=R, Predita=R, Confiança=1.0000
Amostra 189: Esperada=Q, Predita=Q, Confiança=1.0000
Amostra 190: Esperada=Y, Predita=A, Confiança=0.0000
Amostra 191: Esperada=S, Predita=A, Confiança=0.0000
Amostra 192: Esperada=W, Predita=W, Confiança=1.0000
Amostra 193: Esperada=N, Predita=N, Confiança=0.8949
Amostra 194: Esperada=L, Predita=A, Confiança=0.0000
Amostra 195: Esperada=P, Predita=A, Confiança=0.0000
Amostra 196: Esperada=U, Predita=A, Confiança=0.0000
Amostra 197: Esperada=F, Predita=A, Confiança=0.0000
Amostra 198: Esperada=N, Predita=N, Confiança=1.0000
Amostra 199: Esperada=B, Predita=A, Confiança=0.0000
Amostra 200: Esperada=J, Predita=A, Confiança=0.0000
Amostra 201: Esperada=S, Predita=A, Confiança=0.0000
Amostra 202: Esperada=P, Predita=A, Confiança=0.0000
Amostra 203: Esperada=J, Predita=A, Confiança=0.0000
Amostra 204: Esperada=A, Predita=R, Confiança=0.3200
Amostra 205: Esperada=I, Predita=A, Confiança=0.0000
Amostra 206: Esperada=V, Predita=A, Confiança=0.0000
Amostra 207: Esperada=W, Predita=W, Confiança=1.0000
Amostra 208: Esperada=V, Predita=A, Confiança=0.0000
Amostra 209: Esperada=Y, Predita=A, Confiança=0.0000
Amostra 210: Esperada=H, Predita=H, Confiança=1.0000
Amostra 211: Esperada=N, Predita=N, Confiança=1.0000
Amostra 212: Esperada=Q, Predita=Q, Confiança=1.0000
Amostra 213: Esperada=N, Predita=N, Confiança=1.0000
Amostra 214: Esperada=Z, Predita=A, Confiança=0.0000
Amostra 215: Esperada=M, Predita=M, Confiança=0.7001
Amostra 216: Esperada=L, Predita=A, Confiança=0.0000
Amostra 217: Esperada=X, Predita=X, Confiança=0.8023
Amostra 218: Esperada=E, Predita=A, Confiança=0.0000
Amostra 219: Esperada=U, Predita=A, Confiança=0.0000
Amostra 220: Esperada=X, Predita=X, Confiança=0.2075
Amostra 221: Esperada=B, Predita=A, Confiança=0.0000
Amostra 222: Esperada=D, Predita=D, Confiança=1.0000
Amostra 223: Esperada=T, Predita=A, Confiança=0.0000
Amostra 224: Esperada=Y, Predita=A, Confiança=0.0000
Amostra 225: Esperada=U, Predita=A, Confiança=0.0000
Amostra 226: Esperada=B, Predita=R, Confiança=0.1208
Amostra 227: Esperada=K, Predita=X, Confiança=0.2821
Amostra 228: Esperada=R, Predita=A, Confiança=0.0000
Amostra 229: Esperada=G, Predita=A, Confiança=0.0000
Amostra 230: Esperada=T, Predita=A, Confiança=0.0000
Amostra 231: Esperada=F, Predita=A, Confiança=0.0000
Amostra 232: Esperada=U, Predita=H, Confiança=0.0370
Amostra 233: Esperada=P, Predita=A, Confiança=0.0000
Amostra 234: Esperada=R, Predita=R, Confiança=1.0000
Amostra 235: Esperada=I, Predita=A, Confiança=0.0000
Amostra 236: Esperada=M, Predita=M, Confiança=0.4547
Amostra 237: Esperada=H, Predita=H, Confiança=1.0000
Amostra 238: Esperada=E, Predita=A, Confiança=0.0000
Amostra 239: Esperada=K, Predita=A, Confiança=0.0000
Amostra 240: Esperada=Z, Predita=A, Confiança=0.0000
Amostra 241: Esperada=Z, Predita=A, Confiança=0.0000
Amostra 242: Esperada=K, Predita=A, Confiança=0.0000
Amostra 243: Esperada=G, Predita=A, Confiança=0.0000
Amostra 244: Esperada=O, Predita=D, Confiança=0.6502
Amostra 245: Esperada=B, Predita=A, Confiança=0.0000
Amostra 246: Esperada=J, Predita=A, Confiança=0.0000
Amostra 247: Esperada=V, Predita=A, Confiança=0.0000
Amostra 248: Esperada=A, Predita=A, Confiança=0.0000
Amostra 249: Esperada=D, Predita=D, Confiança=1.0000
Amostra 250: Esperada=K, Predita=W, Confiança=0.1435
Amostra 251: Esperada=Z, Predita=A, Confiança=0.0000
Amostra 252: Esperada=L, Predita=A, Confiança=0.0000
Amostra 253: Esperada=S, Predita=A, Confiança=0.0000
Amostra 254: Esperada=E, Predita=A, Confiança=0.0000
Amostra 255: Esperada=Q, Predita=Q, Confiança=0.8978
Amostra 256: Esperada=P, Predita=A, Confiança=0.0000
Amostra 257: Esperada=T, Predita=A, Confiança=0.0000
Amostra 258: Esperada=Q, Predita=Q, Confiança=0.8905
Amostra 259: Esperada=B, Predita=A, Confiança=0.0000
Amostra 260: Esperada=Z, Predita=A, Confiança=0.0000
Amostra 261: Esperada=F, Predita=A, Confiança=0.0000
Amostra 262: Esperada=F, Predita=A, Confiança=0.0000
Amostra 263: Esperada=D, Predita=D, Confiança=1.0000
Amostra 264: Esperada=Y, Predita=M, Confiança=0.1145
Amostra 265: Esperada=I, Predita=A, Confiança=0.0000
Amostra 266: Esperada=L, Predita=A, Confiança=0.0000
